Sun And Wind,Sun and No Wind,No Sun and Wind,No Sun and No Wind
-18.096743,3.861037,-18.762027,3.021193
-17.896514,4.010115,-18.569959,3.162993
-17.2445,4.814354,-18.53749,3.199369
-17.258059,4.697736,-18.346822,3.340242
-18.096234,3.656901,-18.362486,3.322351
-18.78203,2.695869,-18.203167,3.427242
-18.938055,2.498946,-18.219203,3.409151
-18.354946,2.848761,-17.5324,3.881867
-19.816906,1.854956,-18.924643,2.988496
-18.745765,2.927813,-18.404402,3.356238
-18.379826,3.197994,-18.11249,3.532929
-19.258635,2.279062,-18.460992,3.287844
-19.737825,2.05275,-19.112226,2.848495
-19.887517,1.959748,-19.315304,2.690543
-19.97006,1.95468,-19.519949,2.531548
-20.124636,1.858694,-19.726203,2.371447
-21.147021,0.719926,-20.008476,2.196403
-21.732913,0.242306,-20.464174,1.896029
-22.040014,0.225844,-21.047116,1.521681
-21.732999,0.531928,-20.862844,1.662207
-21.652688,0.443795,-20.535037,1.892508
-20.229857,1.80585,-19.71854,2.458469
-17.915216,4.439171,-19.256691,2.759843
-17.479369,4.976799,-19.256691,2.759843
-16.408314,5.826535,-18.475769,3.270422
