module,rotation,UDI-f,UDI-a,UDI-e
module_2_1,0,7.37,92.63,0
module_2_1,0,6.63,92.88,0.49
module_2_1,0,10.77,89.23,0
module_2_1,0,9.86,90.14,0
module_2_1,0,8.71,91.29,0
module_2_1,0,8.3,91.7,0
module_2_1,0,10.6,89.4,0
module_2_1,0,62.03,37.97,0
module_2_1,0,41.21,58.79,0
module_2_1,0,32.68,67.32,0
module_2_1,0,28.74,71.26,0
module_2_1,0,57.42,42.58,0
module_2_1,0,47.62,52.38,0
module_2_1,0,36.08,63.92,0
module_2_1,0,24.47,75.53,0
module_2_1,0,21.45,78.55,0
module_2_1,0,39.45,60.55,0
module_2_1,0,50.88,49.12,0
module_2_1,0,36.49,63.51,0
module_2_1,0,25.89,74.11,0
module_2_1,0,23.04,76.96,0
module_2_1,0,49.92,50.08,0
module_2_1,0,59.7,40.3,0
