21 Mar 08:00,21 Mar 09:00,21 Mar 10:00,21 Mar 11:00,21 Mar 12:00,21 Mar 13:00,21 Mar 14:00,21 Mar 15:00,21 Mar 16:00,21 Mar 17:00,21 Mar 18:00,21 Mar 19:00,21 Jun 06:00,21 Jun 07:00,21 Jun 08:00,21 Jun 09:00,21 Jun 10:00,21 Jun 11:00,21 Jun 12:00,21 Jun 13:00,21 Jun 14:00,21 Jun 15:00,21 Jun 16:00,21 Jun 17:00,21 Jun 18:00,21 Jun 19:00,21 Jun 20:00,21 Sep 07:00,21 Sep 08:00,21 Sep 09:00,21 Sep 10:00,21 Sep 11:00,21 Sep 12:00,21 Sep 13:00,21 Sep 14:00,21 Sep 15:00,21 Sep 16:00,21 Sep 17:00,21 Sep 18:00,21 Sep 19:00,21 Dec 09:00,21 Dec 10:00,21 Dec 11:00,21 Dec 12:00,21 Dec 13:00,21 Dec 14:00,21 Dec 15:00,21 Dec 16:00,21 Dec 17:00
0.061288,0.074543,0.082786,0.083446,0.087286,0.086974,0.088514,0.107292,0.265126,0.314933,0.065909,0.001012,0.039835,0.063239,0.075601,0.083708,0.083201,0.084713,0.086731,0.103295,0.186054,0.319217,0.444734,0.515694,0.480088,0.222238,0.00155,0.033267,0.065,0.083952,0.085661,0.092914,0.09492,0.090382,0.090153,0.114124,0.140242,0.13262,0.032081,0,0.052779,0.064745,0.070654,0.074698,0.073392,0.067678,0.05904,0.046804,0.004593
0.063021,0.076658,0.085122,0.085835,0.089757,0.089539,0.091219,0.10946,0.267601,0.317293,0.066979,0.001023,0.040917,0.064989,0.07768,0.086051,0.085549,0.087091,0.089087,0.105573,0.187978,0.321082,0.446657,0.51753,0.481513,0.222874,0.001567,0.033966,0.066285,0.08569,0.087626,0.095028,0.096952,0.092373,0.092337,0.115908,0.142179,0.134178,0.032673,0,0.054238,0.066561,0.072668,0.076833,0.075589,0.069697,0.06108,0.048615,0.004645
0.064599,0.078569,0.087377,0.087926,0.091915,0.091879,0.094129,0.112657,0.272439,0.324518,0.167513,0.001045,0.041794,0.066716,0.079755,0.088683,0.087893,0.089453,0.091258,0.107942,0.190652,0.32421,0.45085,0.522669,0.486006,0.224825,0.001603,0.034653,0.067933,0.087828,0.089784,0.097526,0.099399,0.09492,0.095682,0.119178,0.147087,0.147218,0.08532,0,0.055412,0.068027,0.074314,0.078688,0.077691,0.072135,0.064086,0.051255,0.004751
0.064597,0.078567,0.087375,0.087924,0.091913,0.091877,0.094129,0.112696,0.272514,0.324574,0.167533,0.001045,0.041792,0.066714,0.079753,0.08868,0.08789,0.089451,0.091256,0.107948,0.190694,0.324265,0.450903,0.522715,0.486037,0.224834,0.001603,0.034652,0.067933,0.087827,0.089782,0.097525,0.099399,0.094921,0.095688,0.119207,0.147117,0.14724,0.085329,0,0.055411,0.068025,0.074312,0.078686,0.07769,0.072136,0.064091,0.051276,0.004751
0.058659,0.071335,0.078942,0.080039,0.083745,0.083331,0.083867,0.100887,0.243732,0.098854,0.028092,0.000952,0.038548,0.060453,0.072168,0.079323,0.07944,0.08091,0.0832,0.099067,0.180485,0.31224,0.434677,0.501793,0.465107,0.141098,0.001454,0.031836,0.061333,0.079288,0.0813,0.087853,0.08957,0.084692,0.083037,0.106009,0.122311,0.051133,0.017101,0,0.050802,0.062287,0.06794,0.071658,0.069775,0.062781,0.051666,0.033117,0.004307
0.04751,0.05811,0.064203,0.065771,0.068737,0.067826,0.066036,0.060689,0.054733,0.041817,0.017716,0.000633,0.032037,0.049643,0.058995,0.064365,0.065174,0.066184,0.067103,0.069097,0.069428,0.066281,0.063483,0.058588,0.04664,0.022025,0.000957,0.024586,0.045596,0.059322,0.062397,0.066782,0.065574,0.059945,0.057213,0.046962,0.036151,0.024585,0.010327,0,0.04135,0.051069,0.055868,0.058912,0.05618,0.047007,0.03641,0.02366,0.002815
0.039369,0.048147,0.05333,0.054525,0.057377,0.056602,0.055153,0.05047,0.045618,0.034836,0.014866,0.000612,0.026979,0.04178,0.049634,0.054122,0.054526,0.055375,0.056458,0.059041,0.059897,0.057294,0.055272,0.050925,0.040468,0.019395,0.000925,0.021586,0.040627,0.052381,0.054153,0.058197,0.057741,0.052756,0.050095,0.040986,0.03196,0.021613,0.008949,0,0.034293,0.042356,0.046399,0.049278,0.047057,0.040254,0.031822,0.020328,0.002721
0.039329,0.048096,0.053279,0.054484,0.057352,0.056594,0.055148,0.050452,0.045585,0.034798,0.014848,0.000614,0.02696,0.041742,0.049591,0.054079,0.054496,0.055368,0.056529,0.067877,0.066497,0.057374,0.055278,0.050897,0.040436,0.01938,0.000928,0.021586,0.040636,0.052393,0.054162,0.058236,0.057845,0.052875,0.05016,0.041023,0.031973,0.021611,0.008944,0,0.034258,0.042309,0.04635,0.049234,0.047022,0.040249,0.031824,0.02032,0.002728
0.041902,0.051279,0.056759,0.058069,0.060938,0.060081,0.058476,0.053552,0.048355,0.036959,0.015745,0.000608,0.028524,0.044222,0.052547,0.057313,0.057839,0.058709,0.059653,0.061828,0.062288,0.059365,0.057072,0.05285,0.042184,0.020165,0.000919,0.022419,0.041952,0.054285,0.05652,0.06063,0.059818,0.05462,0.052001,0.042516,0.03299,0.022395,0.009343,0,0.036494,0.045103,0.049389,0.052314,0.049898,0.042241,0.033115,0.021307,0.002702
0.040113,0.049007,0.054254,0.05538,0.05826,0.057528,0.056229,0.051716,0.046893,0.036005,0.015467,0.00066,0.027407,0.042485,0.050535,0.055109,0.055443,0.056337,0.057771,0.070013,0.087499,0.091282,0.059071,0.05488,0.043949,0.02132,0.000999,0.022391,0.042456,0.054635,0.056118,0.060411,0.060485,0.055468,0.052461,0.043218,0.033923,0.022896,0.00941,0,0.03496,0.043101,0.047175,0.050084,0.047969,0.041578,0.033124,0.021022,0.002941
